cr_gdp,dy,cr,fd0,fd1,fd2
74.5,0.4485,0,0.36774,0.58859,0.1502
76.4,0.25922,0,0.36668,0.58795,0.15115
76.2,0.52488,0,0.36562,0.58732,0.15209
76.5,1.7085,0,0.36456,0.58669,0.15304
76.9,0.38524,0,0.3635,0.58605,0.15399
78.8,1.5398,0,0.38825,0.61153,0.15412
78.9,1.9892,0,0.413,0.63701,0.15425
79.2,-0.40057,0,0.43774,0.66248,0.15438
80.4,-0.81406,0,0.46249,0.68796,0.1545
81.5,0.90151,0,0.47324,0.6966,0.16387
82.5,-0.67151,0,0.484,0.70524,0.17324
83.1,-1.5953,0,0.49475,0.71388,0.1826
85.1,-1.0091,0,0.5055,0.72252,0.19197
86.9,-0.18979,0,0.54229,0.74765,0.21899
86.1,2.7552,0,0.57907,0.77279,0.24602
86.5,1.6515,0,0.61586,0.79792,0.27304
85.8,2.4756,0,0.65264,0.82305,0.30006
85.6,1.1158,0,0.66824,0.81711,0.33485
86.1,0.84708,0,0.68383,0.81117,0.36963
87.5,0.69125,0,0.69942,0.80524,0.40441
88.6,1.4482,0,0.71502,0.7993,0.43919
91.1,2.1849,0,0.72419,0.80268,0.44361
92.3,1.3401,0,0.73337,0.80607,0.44802
94.1,-0.26863,0,0.74254,0.80946,0.45244
94.8,0.68719,0,0.75171,0.81284,0.45685
99.5,-0.18879,0,0.75533,0.8163,0.46314
103.7,0.27027,0,0.75895,0.81976,0.46943
105.4,1.6386,0,0.76256,0.82322,0.47572
105.6,0.9928,0,0.76618,0.82668,0.48201
108.3,1.528,0,0.74116,0.79345,0.47502
109.1,1.79,0,0.71614,0.76022,0.46803
111.3,1.9828,0,0.69113,0.72698,0.46104
113.8,0.48648,0,0.66611,0.69375,0.45406
117.2,0.052997,0,0.6766,0.69493,0.4265
117.9,0.8149,0,0.68709,0.6961,0.39894
117.2,1.5264,0,0.69758,0.69727,0.37138
118.5,1.0784,1,0.70807,0.69845,0.34382
121.6,2.0398,1,0.70962,0.69544,0.33376
119.6,0.82359,1,0.71117,0.69243,0.3237
119.1,-0.26041,1,0.71273,0.68943,0.31363
120.9,0.82766,1,0.71428,0.68642,0.30357
120.8,0.11011,1,0.69893,0.66966,0.29421
120,-0.56816,1,0.68358,0.65289,0.28486
120.9,0.5753,1,0.66824,0.63612,0.2755
122.5,-1.3076,1,0.65289,0.61936,0.26614
121.6,-0.15445,1,0.64765,0.60795,0.26599
119.7,0.43845,1,0.64242,0.59655,0.26584
119.9,0.060201,1,0.63718,0.58515,0.26569
119,0.76811,1,0.63195,0.57374,0.26554
119,0.68218,1,0.65056,0.59495,0.29719
119.9,1.0134,1,0.66918,0.61617,0.32885
117.4,2.0437,1,0.68779,0.63738,0.3605
115.7,0.70606,0,0.7064,0.65859,0.39216
113.2,0.53856,0,0.70919,0.66224,0.41353
113.4,0.11454,0,0.71199,0.66588,0.4349
112,1.8232,0,0.71478,0.66953,0.45627
111.3,1.6721,0,0.71757,0.67318,0.47765
111.6,1.2378,0,0.72268,0.67821,0.47177
111.9,0.76048,0,0.72779,0.68324,0.46589
111.8,0.93821,0,0.73289,0.68827,0.46002
112,0.012735,0,0.738,0.6933,0.45414
112.6,0.34732,0,0.74691,0.6945,0.46349
112.5,2.2191,0,0.75583,0.69569,0.47283
113.4,0.1019,0,0.76474,0.69689,0.48218
113.7,1.6461,0,0.77365,0.69809,0.49153
114.6,0.72308,0,0.77963,0.69877,0.50517
113.6,0.79601,0,0.78562,0.69945,0.51881
115.2,0.87609,0,0.7916,0.70012,0.53245
114.8,0.61689,0,0.79759,0.7008,0.54609
116.5,2.9174,0,0.80124,0.70022,0.56687
117.5,0.12431,0,0.80488,0.69963,0.58765
120.4,1.3812,0,0.80853,0.69905,0.60844
120.8,0.73891,0,0.81218,0.69846,0.62922
123.6,0.94962,0,0.81524,0.69855,0.66163
124.6,1.903,0,0.81831,0.69865,0.69405
125.6,1.5323,0,0.82137,0.69874,0.72646
126.8,0.75819,0,0.82443,0.69884,0.75888
126.5,0.36688,0,0.831,0.7003,0.78809
