start,end,nT,idx0,idx1
41,175,135,1,135
41,175,135,136,270
41,175,135,271,405
41,175,135,406,540
102,175,74,541,614
41,175,135,615,749
41,175,135,750,884
41,175,135,885,1019
41,175,135,1020,1154
41,175,135,1155,1289
102,175,74,1290,1363
102,175,74,1364,1437
41,175,135,1438,1572
102,175,74,1573,1646
41,175,135,1647,1781
41,175,135,1782,1916
41,175,135,1917,2051
117,175,59,2052,2110
44,175,132,2111,2242
41,175,135,2243,2377
41,175,135,2378,2512
41,175,135,2513,2647
102,175,74,2648,2721
41,175,135,2722,2856
41,175,135,2857,2991
41,175,135,2992,3126
41,175,135,3127,3261
65,175,111,3262,3372
41,175,135,3373,3507
41,175,135,3508,3642
