Date,ER,DD,dflows,LER,dLER,dPoil,dDate,match,dflows2
01-07-00,28.05,0.315488557,-0.002762968,3.333988632,-0.142806165,0,5,13,-0.002762968
05-07-00,28.03,0.316131581,-0.001383447,3.333275365,-0.071326679,-1.035943224,5,18,-0.001383447
10-07-00,27.99,0.313097744,-0.000492731,3.331847304,-0.142806165,-0.358598591,5,23,-0.000492731
15-07-00,27.85,0.310658068,0.000572031,3.326832966,-0.501433715,1.7160855,7,30,0.000572031
20-07-00,27.75,0.309396009,0.002313357,3.32323584,-0.359712618,-9.489293139,4,34,0.002313357
25-07-00,27.64,0.309121808,-0.008737763,3.319263999,-0.397184129,-5.402800174,5,39,-0.008737763
01-08-00,27.82,0.312797,-0.000941902,3.325755186,0.64911876,-5.908891637,5,44,-0.000941902
05-08-00,27.77,0.303581339,-5.53368E-05,3.323956301,-0.179888518,6.651285544,5,49,-5.53368E-05
10-08-00,27.7,0.302125418,-0.001195773,3.321432413,-0.252388813,3.951937133,5,54,-0.001195773
15-08-00,27.69,0.30199447,0.001872441,3.321071337,-0.036107601,3.870101238,7,61,0.001872441
20-08-00,27.73,0.301106389,0.015886564,3.32251486,0.144352244,4.905069957,4,65,0.015886564
25-08-00,27.7,0.302746489,-0.010081713,3.321432413,-0.108244643,3.07815261,5,70,-0.010081713
01-09-00,27.75,0.318790635,-0.003444292,3.32323584,0.1803427,10.2261307,5,75,-0.003444292
05-09-00,27.75,0.308514134,0.000780452,3.32323584,0,2.644317224,5,80,0.000780452
10-09-00,27.86,0.305948802,-0.000207305,3.327191968,0.395612816,3.839818217,5,85,-0.000207305
15-09-00,27.78,0.306118462,0.001458951,3.324316337,-0.287563103,-17.72582548,6,91,0.001458951
20-09-00,27.77,0.305835194,0.010649906,3.323956301,-0.036003601,6.573397854,4,95,0.010649906
25-09-00,27.79,0.307443981,-0.010515956,3.324676244,0.071994244,-5.810763081,5,100,-0.010515956
01-10-00,27.75,0.317572821,0.00010431,3.32323584,-0.144040356,-8.865305879,5,105,0.00010431
